Book,Author,Frequency,Genres,Length,Rating,Year_Published,Year_Read,Emotion,Series
The Mark of Athena,Rick Riordian,1,"Fantasy, Mythology, Young Adult, Fiction, Adventure, Greek Mythology",586,4.25,2012,2013,Despair,"Hereos of Olympus, #3"
The Lost Hero,Rick Riordian,1,"Fantasy, Mythology, Young Adult, Fiction, Adventure, Greek Mythology",576,3.5,2010,2013,Anticipation,"Hereos of Olympus, #1"
The Son of Neptune,Rick Riordian,1,"Fantasy, Mythology, Young Adult, Fiction, Adventure, Greek Mythology",521,3.5,2011,2013,Anticipation,"Hereos of Olympus, #2"
The Perks of Being a Wallflower,Stephen Chbosky,1,"Young Adult, Fiction, Contemporary, Coming Of Age, Classics, Romance",213,3.75,1999,2018,Confusion,
Divergent,Veronica Roth,1,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure",487,4.25,2012,2014,Excitement,"Divergent, #1"
Insurgent,Veronica Roth,1,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure",525,3.5,2012,2014,Amorous,"Divergent, #2"
Allegiant,Veronica Roth,1,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure",531,3.75,2013,2014,Despair,"Divergent, #3"
Sharp Objects,Gillian Flynn,1,"Mystery, Fiction, Thriller, Crime, Suspense, Adult, Horror, Contemporary",254,3.5,2007,2020,Repulsion,
Keys to the Demon Prison,Brandon Mull,1,"Fantasy, Young Adult, Fiction, Middle Grade, Adventure, Magic",593,4.25,2010,2014,Excitement,"Fablehaven, #5"
Secrets of the Dragon Sanctuary,Brandon Mull,1,"Fantasy, Young Adult, Fiction, Middle Grade, Adventure, Magic",535,4,2009,2014,Excitement,"Fablehaven, #4"
Grip of the Shadow Plague,Brandon Mull,1,"Fantasy, Young Adult, Fiction, Middle Grade, Adventure, Magic",477,4.25,2008,2014,Excitement,"Fablehaven, #3"
Rise of the Evening Star,Brandon Mull,1,"Fantasy, Young Adult, Fiction, Middle Grade, Adventure, Magic",456,4.25,2007,2014,Excitement,"Fablehaven, #2"
Fablehaven,Brandon Mull,1,"Fantasy, Young Adult, Fiction, Middle Grade, Adventure, Magic",351,4.5,2006,2014,Excitement,"Fablehaven, #1"
Murder on the Orient Express,Agathe Christie,1,"Mystery, Classics, Fiction, Crime, Thriller, Detective, Adult",274,4.25,2007,2015,Surprise,"Hercule Poirot, #10"
Three Act Tragedy,Agatha Christie,1,"Mystery, Classics, Fiction, Crime, Thriller, Detective, Adult",336,3.25,2005,2015,Surprise,"Hercule Poirot, #11"
One of Us Is Lying,Karen M. McManus,1,"Mystery, Young Adult, Thriller, Fiction, Contemporary, Romance, Crime",416,3.5,2017,2020,Surprise,"One of Us Is Lying, #1"
