Title,Author,Length,Rating,Date Published,Date Read,Date Added,Read Count,ISBN13 Number,Amazon Standard Identification Number,Goodreads Number,Review,Cover Image
"City of Fallen Angels (The Mortal Instruments, #4)","Clare, Cassandra*",425pp,4,"Apr 05, 2011",Date Read Not Set,"July 05, 2016",1,9781442403543,1442403543,6752378,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369452302l/6752378._SY75_.jpg
"Born at Midnight (Shadow Falls, #1)","Hunter, C.C.*",398pp,1,"Mar 29, 2011",Date Read Not Set,"July 05, 2016",1,9780312624675,0312624670,8705784,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546092698l/8705784._SX50_.jpg
"Clockwork Prince (The Infernal Devices, #2)","Clare, Cassandra*",498pp,5,"Dec 06, 2011",Date Read Not Set,"July 05, 2016",1,9781416975885,1416975888,10025305,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477747l/10025305._SY75_.jpg
"City of Ashes (The Mortal Instruments, #2)","Clare, Cassandra*",453pp,3,"Aug 07, 2008",Date Read Not Set,"July 05, 2016",1,9781416914297,1416914293,1582996,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730356l/1582996._SY75_.jpg
"City of Glass (The Mortal Instruments, #3)","Clare, Cassandra*",541pp,4,"Mar 24, 2009",Date Read Not Set,"July 05, 2016",1,9781416914303,1416914307,3777732,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369452339l/3777732._SY75_.jpg
"Pure (Covenant, #2)","Armentrout, Jennifer L.*",329pp,3,"Apr 03, 2012",Date Read Not Set,"July 05, 2016",1,9780983157229,0983157227,9761771,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1296780419l/9761771._SX50_.jpg
"Opal (Lux, #3)","Armentrout, Jennifer L.*",394pp,4,"Dec 11, 2012",Date Read Not Set,"July 05, 2016",1,9781620610091,1620610094,13362536,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553011318l/13362536._SY75_.jpg
"Half-Blood (Covenant, #1)","Armentrout, Jennifer L.*",281pp,4,"Oct 18, 2011","Jul 05, 2016","July 05, 2016",1,9780983157205,0983157200,9680718,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311865840l/9680718._SX50_.jpg
"Onyx (Lux, #2)","Armentrout, Jennifer L.*",421pp,4,"Aug 14, 2012",Date Read Not Set,"July 05, 2016",1,,,13047090,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329408511l/13047090._SY75_.jpg
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)","Taylor, Laini*",418pp,1,"Sep 27, 2011",Date Read Not Set,"July 01, 2016",1,9780316134026,0316134023,8490112,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461353773l/8490112._SY75_.jpg
