Title,Author,Length,Rating,Date Published,Date Read,Date Added,Read Count,ISBN13 Number,Amazon Standard Identification Number,Goodreads Number,Review,Cover Image
"An Ember in the Ashes (An Ember in the Ashes, #1)","Tahir, Sabaa*",446pp,4,"Apr 28, 2015",Date Read Not Set,"October 27, 2018",1,,,27774758,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519425615l/27774758._SY75_.jpg
"Fantastic Beasts and Where to Find Them: The Original Screenplay (Fantastic Beasts: The Original Screenplay, #1)","Rowling, J.K.",293pp,4,"Nov 18, 2016",Date Read Not Set,"October 27, 2018",1,9781338109061,1338109065,29363501,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481542648l/29363501._SY75_.jpg
"Cinder (The Lunar Chronicles, #1)","Meyer, Marissa*",400pp,4,"Jan 03, 2012",Date Read Not Set,"October 27, 2018",1,,,36381037,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507557775l/36381037._SY75_.jpg
"Crystal Crowned (Air Awakens, #5)","Kova, Elise*",400pp,3,"Jul 12, 2016",Date Read Not Set,"October 27, 2018",1,,B01EGVEW70,29966062,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461167707l/29966062._SY75_.jpg
"Water's Wrath (Air Awakens, #4)","Kova, Elise*",378pp,4,"Apr 26, 2016",Date Read Not Set,"October 27, 2018",1,9781619844254,1619844257,29483403,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459114125l/29483403._SY75_.jpg
"Earth's End (Air Awakens, #3)","Kova, Elise*",350pp,3,"Feb 11, 2016",Date Read Not Set,"October 27, 2018",1,9781619844223,1619844222,26760091,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447570143l/26760091._SX50_.jpg
"Fire Falling (Air Awakens, #2)","Kova, Elise*",378pp,4,"Nov 19, 2015",Date Read Not Set,"October 27, 2018",1,9781619849525,1619849526,26047438,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440388938l/26047438._SY75_.jpg
"Air Awakens (Air Awakens, #1)","Kova, Elise*",342pp,4,"Aug 27, 2015",Date Read Not Set,"October 22, 2018",1,9781932549935,1932549935,23127048,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432967839l/23127048._SY75_.jpg
"Touch of Frost (Mythos Academy, #1)","Estep, Jennifer*",384pp,3,"Aug 01, 2011",Date Read Not Set,"October 22, 2018",1,9780758266927,0758266928,9439989,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701707148l/9439989._SY75_.jpg
"Restore Me (Shatter Me, #4)","Mafi, Tahereh",435pp,5,"Mar 06, 2018",Date Read Not Set,"October 02, 2018",1,9780062676368,0062676369,34992929,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507232049l/34992929._SY75_.jpg
"The Cruel Prince (The Folk of the Air, #1)","Black, Holly*",370pp,5,"Jan 02, 2018",Date Read Not Set,"August 25, 2018",1,,0316310271,26032825,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574535986l/26032825._SY75_.jpg
"The Mysterious Affair at Styles (Hercule Poirot, #1)","Christie, Agatha",121pp,3,"Jan 01, 1920",Date Read Not Set,"August 25, 2018",1,9780646418438,0646418432,16343,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386922393l/16343._SY75_.jpg
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)","Maas, Sarah J.*",229pp,1,"May 01, 2018",Date Read Not Set,"June 22, 2018",1,9781681196312,168119631X,31076583,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546407073l/31076583._SY75_.jpg
"Queen of Shadows (Throne of Glass, #4)","Maas, Sarah J.*",648pp,4,"Sep 01, 2015",Date Read Not Set,"June 22, 2018",1,9781619636040,,18006496,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441230104l/18006496._SY75_.jpg
"Heir of Fire (Throne of Glass, #3)","Maas, Sarah J.*",565pp,4,"Sep 02, 2014",Date Read Not Set,"June 22, 2018",1,9781619630659,,20613470,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460846511l/20613470._SY75_.jpg
"Crown of Midnight (Throne of Glass, #2)","Maas, Sarah J.*",420pp,3,"Aug 15, 2013",Date Read Not Set,"June 22, 2018",1,9781619630628,,17167166,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391580481l/17167166._SY75_.jpg
"The Coincidence of Callie & Kayden (The Coincidence, #1)","Sorensen, Jessica*",283pp,1,"Dec 13, 2012",Date Read Not Set,"April 22, 2018",1,,B00ANDLC6K,16113791,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353550763l/16113791._SY75_.jpg
"Mockingjay (The Hunger Games, #3)","Collins, Suzanne",390pp,4,"Aug 24, 2010",Date Read Not Set,"April 22, 2018",2,9780439023511,0439023513,7260188,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188._SY75_.jpg
"Clockwork Princess (The Infernal Devices, #3)","Clare, Cassandra*",567pp,5,"Mar 19, 2013",Date Read Not Set,"April 22, 2018",2,9781406321340,1406321346,18335634,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436788488l/18335634._SY75_.jpg
"Catching Fire (The Hunger Games, #2)","Collins, Suzanne",391pp,4,"Sep 01, 2009",Date Read Not Set,"April 22, 2018",2,9780439023498,0439023491,6148028,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028._SY75_.jpg
